지역,일시,지점번호,평균 상대습도
강원도,2016-12-28,134.64285714285714,65.29285714285714
강원도,2016-12-29,134.64285714285714,49.692857142857136
강원도,2016-12-30,134.64285714285714,54.29285714285714
강원도,2016-12-31,134.64285714285714,64.20714285714286
경기도,2016-12-28,144.2,55.32000000000001
경기도,2016-12-29,144.2,52.32000000000001
경기도,2016-12-30,144.2,60.96
경기도,2016-12-31,144.2,76.8
경상남도,2016-12-28,240.4375,56.3625
경상남도,2016-12-29,240.4375,46.1625
경상남도,2016-12-30,240.4375,44.4625
경상남도,2016-12-31,240.4375,65.04375
경상북도,2016-12-28,219.26666666666668,54.42666666666666
경상북도,2016-12-29,219.26666666666668,44.24
경상북도,2016-12-30,219.26666666666668,46.71333333333334
경상북도,2016-12-31,219.26666666666668,63.96
서울시,2016-12-28,108.0,49.0
서울시,2016-12-29,108.0,53.1
서울시,2016-12-30,108.0,50.9
서울시,2016-12-31,108.0,65.4
인천시,2016-12-28,138.33333333333334,57.63333333333333
인천시,2016-12-29,138.33333333333334,53.43333333333334
인천시,2016-12-30,138.33333333333334,62.0
인천시,2016-12-31,138.33333333333334,68.46666666666665
전라남도,2016-12-28,220.57142857142856,56.87857142857143
전라남도,2016-12-29,220.57142857142856,61.9
전라남도,2016-12-30,220.57142857142856,57.73571428571428
전라남도,2016-12-31,220.57142857142856,75.90714285714286
전라북도,2016-12-28,219.0,65.27000000000001
전라북도,2016-12-29,219.0,64.67777777777778
전라북도,2016-12-30,219.0,70.28
전라북도,2016-12-31,219.0,81.39
제주도,2016-12-28,186.5,59.0
제주도,2016-12-29,186.5,64.425
제주도,2016-12-30,186.5,63.9
제주도,2016-12-31,186.5,64.5
충청남도,2016-12-28,146.33333333333334,69.63333333333334
충청남도,2016-12-29,146.33333333333334,68.7
충청남도,2016-12-30,146.33333333333334,78.46666666666665
충청남도,2016-12-31,146.33333333333334,87.56666666666666
충청북도,2016-12-28,197.88888888888889,63.2
충청북도,2016-12-29,197.88888888888889,59.57777777777777
충청북도,2016-12-30,197.88888888888889,67.97777777777777
충청북도,2016-12-31,197.88888888888889,82.3111111111111
