,지점,지점명,관리관서,도,지점명1
0,90,속초,강원지방기상청,강원,강원도
1,212,홍천,춘천기상대,춘천,강원도
2,93,북춘천,춘천기상대,춘천,강원도
3,216,태백,강원지방기상청,강원,강원도
4,95,철원,강원지방기상청,강원,강원도
5,217,정선군,강원지방기상청,강원,강원도
6,98,동두천,수도권기상청,수도권,경기도
7,221,제천,청주기상지청,청주기상지청,충청북도
8,99,파주,수도권기상청,수도권,경기도
9,226,보은,청주기상지청,청주기상지청,충청북도
10,100,대관령,강원지방기상청,강원,강원도
11,232,천안,대전지방기상청,대전,충청북도
12,101,춘천,춘천기상대,춘천,강원도
13,235,보령,대전지방기상청,대전,충청북도
14,102,백령도,수도권기상청,수도권,인천시
15,236,부여,대전지방기상청,대전,충청북도
16,104,북강릉,강원지방기상청,강원,강원도
17,238,금산,대전지방기상청,대전,충청북도
18,105,강릉,강원지방기상청,강원,강원도
19,239,세종시,대전지방기상청,대전,충청북도
20,106,동해,강원지방기상청,강원,강원도
21,243,부안,전주기상지청,전주기상지청,전라북도
22,108,서울시,수도권기상청,수도권,서울시
23,244,임실,전주기상지청,전주기상지청,전라북도
24,112,인천시,수도권기상청,수도권,인천시
25,245,정읍,전주기상지청,전주기상지청,전라북도
26,114,원주,강원지방기상청,강원,강원도
27,247,남원,전주기상지청,전주기상지청,전라북도
28,115,울릉도,대구지방기상청,대구,경상북도
29,248,장수,전주기상지청,전주기상지청,전라북도
30,119,수원,수도권기상청,수도권,경기도
31,251,고창군,전주기상지청,전주기상지청,전라북도
32,121,영월,강원지방기상청,강원,강원도
33,252,영광군,광주지방기상청,광주,전라남도
34,127,충주,청주기상지청,청주기상지청,충청북도
35,253,김해시,부산지방기상청,부산,경상남도
36,129,서산,홍성기상대,홍성,충청남도
37,254,순창군,전주기상지청,전주기상지청,전라북도
38,130,울진,안동기상대,안동,경상북도
39,255,북창원,창원기상대,창원,경상남도
40,131,청주,청주기상지청,청주기상지청,충청북도
41,257,양산시,울산기상대,울산,경상남도
42,133,대전시,대전지방기상청,대전,충청북도
43,258,보성군,광주지방기상청,광주,전라남도
44,135,추풍령,청주기상지청,청주기상지청,충청북도
45,259,강진군,목포기상대,목포,전라남도
46,136,안동,안동기상대,안동,경상북도
47,260,장흥,목포기상대,목포,전라남도
48,137,상주,대구지방기상청,대구,경상북도
49,261,해남,목포기상대,목포,전라남도
50,138,포항,대구지방기상청,대구,경상북도
51,262,고흥,광주지방기상청,광주,전라남도
52,140,군산,전주기상지청,전주기상지청,전라북도
53,263,의령군,창원기상대,창원,경상남도
54,143,대구시,대구지방기상청,대구,경상북도
55,264,함양군,창원기상대,창원,경상남도
56,146,전주,전주기상지청,전주기상지청,전라북도
57,266,광양시,광주지방기상청,광주,전라남도
58,152,울산시,울산기상대,울산,경상남도
59,268,진도군,목포기상대,목포,전라남도
60,155,창원,창원기상대,창원,경상남도
61,271,봉화,대구지방기상청,대구,경상북도
62,156,광주시,광주지방기상청,광주,전라남도
63,272,영주,안동기상대,안동,경상북도
64,159,부산시,부산지방기상청,부산,경상남도
65,273,문경,안동기상대,안동,경상북도
66,162,통영,부산지방기상청,부산,경상남도
67,276,청송군,대구지방기상청,대구,경상북도
68,165,목포,목포기상대,목포,전라남도
69,277,영덕,대구지방기상청,대구,경상북도
70,168,여수,광주지방기상청,광주,전라남도
71,278,의성,대구지방기상청,대구,경상북도
72,169,흑산도,광주지방기상청,광주,전라남도
73,279,구미,대구지방기상청,대구,경상북도
74,170,완도,목포기상대,목포,전라남도
75,281,영천,대구지방기상청,대구,경상북도
76,172,고창,전주기상지청,전주기상지청,전라북도
77,283,경주시,대구지방기상청,대구,경상북도
78,174,순천,광주지방기상청,광주,전라남도
79,284,거창,울산기상대,울산,경상남도
80,177,홍성,홍성기상대,홍성,충청남도
81,285,합천,울산기상대,울산,경상남도
82,184,제주,제주지방기상청,제주,제주도
83,288,밀양,울산기상대,울산,경상남도
84,185,고산,제주지방기상청,제주,제주도
85,289,산청,창원기상대,창원,경상남도
86,188,성산,제주지방기상청,제주,제주도
87,294,거제,부산지방기상청,부산,경상남도
88,189,서귀포,제주지방기상청,제주,제주도
89,295,남해,부산지방기상청,부산,경상남도
90,192,진주,창원기상대,창원,경상남도
91,201,강화,인천기상대,인천,인천시
92,202,양평,수도권기상청,수도권,경기도
93,203,이천,수도권기상청,수도권,경기도
94,211,인제,강원지방기상청,강원,강원도
